Date,Timestamp,Account No,Balance,Amount,Third Party Account No,Third Party Name
01/01/2023,00:00,313806474,3139.02,-7.99,,Amazon
01/01/2023,00:00,313806474,3132.02,-7,,Xbox
01/01/2023,00:00,313806474,3113.03,-18.99,,PureGym
01/01/2023,00:00,184102451,753.01,-18.99,,PureGym
01/01/2023,00:00,184102451,653.01,-100,,Grand Union BJJ
01/01/2023,00:00,184102451,637.02,-15.99,,Netflix
01/01/2023,00:00,184102451,629.03,-7.99,,Amazon
01/01/2023,00:00,184102451,616.04,-12.99,,SquareOnix
01/01/2023,00:00,618363727,3315.01,-7.99,,Disney
01/01/2023,00:00,618363727,3299.02,-15.99,,Netflix
01/01/2023,00:00,618363727,3280.03,-18.99,,PureGym
01/01/2023,00:00,908273315,957.01,-7.99,,Amazon
01/01/2023,00:00,908273315,942.02,-14.99,,Blizzard
01/01/2023,00:00,908273315,936.03,-5.99,,Mojang Studios
01/01/2023,00:00,908273315,917.04,-18.99,,PureGym
01/01/2023,00:00,938302791,153.01,-15.99,,Netflix
01/01/2023,00:00,938302791,134.02,-18.99,,PureGym
01/01/2023,00:00,938302791,127.02,-7,,Xbox
01/01/2023,00:00,938302791,121.03,-5.99,,Mojang Studios
01/01/2023,00:00,938302791,115.04,-5.99,,Mojang Studios
01/01/2023,00:00,938302791,108.04,-7,,Xbox
01/01/2023,00:00,710597922,844.01,-5.99,,Mojang Studios
01/01/2023,00:00,710597922,831.02,-12.99,,SquareOnix
01/01/2023,00:00,303145527,1440,-100,,Grand Union BJJ
01/01/2023,00:00,303145527,1424.01,-15.99,,Netflix
01/01/2023,00:00,303145527,1417.01,-7,,Xbox
01/01/2023,00:00,303145527,1404.02,-12.99,,SquareOnix
01/01/2023,00:00,303145527,1391.03,-12.99,,SquareOnix
01/01/2023,05:37,908273315,896.4597034,-20.58,,Lloyds Pharmacy
01/01/2023,09:46,618747955,742.14,-64.91,,Foyles
01/01/2023,10:00,618363727,3274.04,-5.99,,Daunt Books
01/01/2023,10:07,658100753,3841.06,-43.95,,Daunt Books
01/01/2023,10:11,778200498,1124.09,-25.96,,Daunt Books
01/01/2023,10:17,916374214,511.08,-16.98,,Foyles
01/01/2023,10:30,658100753,3751.78375,-89.28,,Coop Local
01/01/2023,10:35,266056908,3176.07,-24.96,,Foyles
01/01/2023,11:02,619428091,2949.05,-22.96,,Foyles
01/01/2023,11:12,618363727,2996.35595,-277.68,,Sainsbury Local
01/01/2023,11:21,157033995,563.58265,-244.45,,Tesco Express
01/01/2023,11:22,266056908,3104.7288,-71.34,,Tesco Express
01/01/2023,11:35,303145527,1373.06,-17.97,,Foyles
01/01/2023,12:05,313806474,3076.08,-36.95,,Daunt Books
01/01/2023,12:10,235567196,-472.4877,-148.55,,Tesco Express
01/01/2023,12:44,184102451,588.08,-27.96,,Foyles
01/01/2023,13:50,684967752,2531.01,-9,,Kings Arms
01/01/2023,13:52,835307842,498.09,-35.96,,Daunt Books
01/01/2023,14:00,684967752,2525.01,-6,,Kings Arms
01/01/2023,14:18,684967752,2519.51,-5.5,,Kings Arms
01/01/2023,14:29,684967752,2514.21,-5.3,,Kings Arms
01/01/2023,14:41,417831169,1840.22,-6.8,,Full of Beans
01/01/2023,14:42,684967752,2508.21,-6,,Kings Arms
01/01/2023,15:51,710597922,790.07,-40.95,,Foyles
01/01/2023,15:55,618747955,602.62965,-139.51,,Sainsbury Local
01/01/2023,17:44,213904562,2702.06,-6.99,,Foyles
01/01/2023,18:50,658100753,3746.48375,-5.3,,Kings Arms
02/01/2023,08:37,417831169,1745.7767,-94.44,,Tesco Express
02/01/2023,09:04,189418402,484.1403,-87.9,,Asda
02/01/2023,09:17,684967752,2393.79675,-114.41,,Tesco Express
02/01/2023,09:45,778200498,1008.08075,-116.01,,Sainsbury Local
02/01/2023,10:16,835307842,491.89,-6.2,,Starbucks
02/01/2023,10:24,619428091,2720.55,-228.5,,Loosely Fitted
02/01/2023,10:40,684967752,2263.82675,-129.97,,Collector Cave
02/01/2023,11:10,213904562,2620.16525,-81.89,,Tesco Express
02/01/2023,16:04,213904562,2602.19525,-17.97,,Daunt Books
02/01/2023,16:30,710597922,784.07,-6,,Hobbycraft
02/01/2023,18:21,313806474,3000.1104,-75.97,,Asda
02/01/2023,18:37,684967752,2258.82675,-5,,Kings Arms
02/01/2023,18:44,710597922,645.95615,-138.11,,Tesco Express
02/01/2023,19:06,684967752,2253.22675,-5.6,,Kings Arms
02/01/2023,19:23,684967752,2246.22675,-7,,Kings Arms
02/01/2023,19:52,684967752,2240.22675,-6,,Kings Arms
02/01/2023,20:22,684967752,2234.62675,-5.6,,Kings Arms
02/01/2023,20:53,684967752,2231.12675,-3.5,,Kings Arms
02/01/2023,20:57,908273315,656.5210534,-239.94,,Tesco Express
02/01/2023,21:02,684967752,2223.12675,-8,,Kings Arms
02/01/2023,22:27,835307842,486.99,-4.9,,Kings Arms
03/01/2023,04:50,618747955,592.2873627,-10.34,,Tesco Express
03/01/2023,08:06,417831169,1743.343048,-2.43,,Revella
03/01/2023,09:31,303145527,1363.325511,-9.73,,Sainsbury Local
03/01/2023,10:18,835307842,480.54,-6.45,,Starbucks
03/01/2023,18:01,778200498,994.11075,-13.97,,Hobby Lobby
03/01/2023,18:01,710597922,640.45615,-5.5,,Hobbycraft
03/01/2023,19:50,417831169,1732.593048,-10.75,,Kings Arms
03/01/2023,20:07,213904562,2590.79525,-11.4,,Kings Arms
04/01/2023,08:10,684967752,2186.08675,-37.04,,JustEat
04/01/2023,09:50,619428091,2718.05,-2.5,,Hobbycraft
04/01/2023,10:28,835307842,474.04,-6.5,,Starbucks
04/01/2023,17:45,417831169,1587.593048,-145,,Loosely Fitted
04/01/2023,17:56,417831169,1537.603048,-49.99,,Collector Cave
04/01/2023,22:16,938302791,-31.96,-140,945415797,
05/01/2023,09:34,303145527,1324.355511,-38.97,,Hobbycraft
05/01/2023,09:37,684967752,2086.10675,-99.98,,Collector Cave
05/01/2023,10:14,684967752,2074.61675,-11.49,,Hobbycraft
05/01/2023,14:09,619428091,2709.08,-8.97,,Hobbycraft
05/01/2023,14:11,266056908,3031.5921,-73.14,,Sainsbury Local
05/01/2023,15:26,618747955,542.2973627,-49.99,,Collector Cave
05/01/2023,16:34,710597922,629.46615,-10.99,,Hobbycraft
05/01/2023,17:13,213904562,2572.82525,-17.97,,The Works
05/01/2023,17:34,658100753,3658.49375,-87.99,,JD Sports
05/01/2023,17:54,658100753,3602.518536,-55.98,,AMAZON
05/01/2023,19:46,684967752,2068.61675,-6,,Kings Arms
05/01/2023,20:11,684967752,2063.01675,-5.6,,Kings Arms
06/01/2023,10:42,303145527,1318.365511,-5.99,,Foyles
06/01/2023,10:42,189418402,465.1703,-18.97,,Hobbycraft
06/01/2023,10:59,266056908,2987.6421,-43.95,,Daunt Books
06/01/2023,11:50,189418402,459.1803,-5.99,,Daunt Books
06/01/2023,12:54,778200498,982.62075,-11.49,,Hobby Lobby
06/01/2023,17:26,313806474,2920.1304,-79.98,,Game
06/01/2023,17:48,417831169,1487.613048,-49.99,,Collector Cave
06/01/2023,17:55,313806474,2904.164587,-15.97,,Coop Local
06/01/2023,21:10,618363727,2942.11743,-54.24,,Sainsbury Local
07/01/2023,09:04,619428091,2706.264976,-2.82,,Coop Local
07/01/2023,09:32,684967752,1943.04675,-119.97,,Collector Cave
07/01/2023,09:37,710597922,619.48615,-9.98,,Hobbycraft
07/01/2023,09:59,835307842,394.06,-79.98,,Gamestation
07/01/2023,11:01,619428091,2700.264976,-6,,Hobbycraft
07/01/2023,11:14,710597922,519.50615,-99.98,,Collector Cave
07/01/2023,11:28,303145527,1306.385511,-11.98,,Foyles
07/01/2023,11:30,916374214,500.1,-10.98,,Foyles
07/01/2023,11:51,618363727,2916.15743,-25.96,,Daunt Books
07/01/2023,14:44,417831169,1417.643048,-69.97,,Collector Cave
08/01/2023,06:22,417831169,1416.335368,-1.31,,Amazon
08/01/2023,10:25,184102451,558.09,-29.99,,Gamestation
08/01/2023,11:10,710597922,501.50615,-18,,Hobbycraft
08/01/2023,11:14,618747955,482.3073627,-59.99,,JD Sports
08/01/2023,12:01,908273315,606.5410534,-49.98,,JD Sports
09/01/2023,09:12,778200498,967.65075,-14.97,,Daunt Books
09/01/2023,09:15,835307842,332.58,-61.48,,Hobby Lobby
09/01/2023,09:15,266056908,2954.14605,-33.5,,Tesco Express
09/01/2023,09:39,619428091,2692.284976,-7.98,,Hobbycraft
09/01/2023,09:58,684967752,1920.07675,-22.97,,Hobbycraft
09/01/2023,10:15,835307842,327.48,-5.1,,Starbucks
09/01/2023,14:54,684967752,1790.10675,-129.97,,Collector Cave
09/01/2023,18:51,710597922,498.00615,-3.5,,Kings Arms
09/01/2023,19:15,710597922,483.50615,-14.5,,Kings Arms
09/01/2023,19:23,710597922,477.50615,-6,,Kings Arms
09/01/2023,19:35,710597922,463.00615,-14.5,,Kings Arms
10/01/2023,09:57,303145527,1293.405511,-12.98,,Foyles
10/01/2023,10:15,835307842,321.33,-6.15,,Starbucks
10/01/2023,10:34,213904562,2522.84525,-49.98,,Collector Cave
10/01/2023,10:45,213904562,2469.85525,-52.99,,Hobbycraft
10/01/2023,10:49,303145527,1273.415511,-19.99,,Hobbycraft
10/01/2023,11:15,213904562,2462.86525,-6.99,,Foyles
10/01/2023,12:35,184102451,478.11,-79.98,,Collector Cave
10/01/2023,13:19,778200498,913.0476,-54.6,,Coop Local
10/01/2023,16:38,710597922,345.18145,-117.82,,Tesco Express
10/01/2023,17:30,916374214,482.13,-17.97,,Foyles
10/01/2023,18:12,658100753,3449.262636,-153.26,,Coop Local
10/01/2023,18:12,710597922,339.18145,-6,,Hobbycraft
10/01/2023,19:48,303145527,1144.097511,-129.32,,Tesco Express
11/01/2023,10:02,835307842,315.33,-6,,Starbucks
11/01/2023,12:09,684967752,1749.20675,-40.9,,Deliveroo
11/01/2023,17:39,417831169,1316.355368,-99.98,,Gamestation
11/01/2023,17:50,710597922,333.68145,-5.5,,Hobbycraft
11/01/2023,19:07,916374214,438.1602,-43.97,,Tesco Express
11/01/2023,20:35,266056908,2852.1417,-102,,Tesco Express
12/01/2023,09:36,303145527,1104.147511,-39.95,,Foyles
12/01/2023,11:10,266056908,2841.1617,-10.98,,Foyles
12/01/2023,11:30,835307842,235.35,-79.98,,Adidas
12/01/2023,11:33,778200498,845.0676,-67.98,,Adidas
12/01/2023,11:51,778200498,832.0776,-12.99,,Adidas
12/01/2023,12:50,184102451,476.61,-1.5,,Hobbycraft
12/01/2023,14:59,684967752,1719.21675,-29.99,,Collector Cave
12/01/2023,16:21,213904562,2426.91525,-35.95,,The Works
12/01/2023,16:48,908273315,531.5560534,-74.98,,TK Maxx
12/01/2023,17:05,619428091,2689.284976,-3,,Hobbycraft
12/01/2023,17:14,908273315,423.5635534,-107.99,,Loosely Fitted
12/01/2023,17:46,710597922,325.69145,-7.99,,Hobbycraft
13/01/2023,09:29,619428091,2629.304976,-59.98,,Collector Cave
13/01/2023,10:34,189418402,449.1903,-9.99,,Daunt Books
13/01/2023,11:22,684967752,1717.71675,-1.5,,Hobbycraft
13/01/2023,12:10,189418402,414.1903,-35,,JD Sports
13/01/2023,12:28,266056908,2826.1717,-14.99,,Five Senses Art
13/01/2023,13:39,684967752,1593.12375,-124.59,,Tesco Express
13/01/2023,14:59,619428091,2625.324976,-3.98,,Hobbycraft
13/01/2023,16:20,303145527,1054.157511,-49.99,,Collector Cave
13/01/2023,16:45,710597922,225.72145,-99.97,,Collector Cave
13/01/2023,17:08,266056908,2819.1817,-6.99,,Foyles
13/01/2023,17:54,710597922,215.74145,-9.98,,Hobbycraft
13/01/2023,19:39,213904562,2345.95815,-80.96,,Sainsbury Local
13/01/2023,19:58,157033995,457.3888,-106.19,,Tesco Express
14/01/2023,09:30,417831169,1266.365368,-49.99,,Collector Cave
14/01/2023,11:59,684967752,1443.15375,-149.97,,Collector Cave
14/01/2023,12:45,835307842,177.38,-57.97,,Adidas
14/01/2023,17:36,710597922,200.77145,-14.97,,Hobbycraft
15/01/2023,03:00,313806474,2877.964587,-26.2,,Deliveroo
15/01/2023,10:15,417831169,1196.385368,-69.98,,Collector Cave
15/01/2023,10:24,916374214,416.1902,-21.97,,Foyles
15/01/2023,10:32,266056908,2812.1917,-6.99,,Foyles
15/01/2023,10:40,313806474,2832.974587,-44.99,,JD Sports
15/01/2023,10:48,619428091,2617.824976,-7.5,,Hobbycraft
15/01/2023,11:22,313806474,2801.004587,-31.97,,Hobbycraft
15/01/2023,11:26,908273315,380.5835534,-42.98,,JD Sports
15/01/2023,11:31,313806474,2691.034587,-109.97,,Game
15/01/2023,11:58,916374214,344.2002,-71.99,,JD Sports
15/01/2023,12:00,658100753,3377.292636,-71.97,,JD Sports
15/01/2023,12:52,835307842,165.809,-11.57,,Sainsbury Local
15/01/2023,13:21,778200498,690.13335,-141.94,,Coop Local
15/01/2023,13:31,778200498,630.15335,-59.98,,Adidas
15/01/2023,14:14,303145527,1048.167511,-5.99,,Hobbycraft
15/01/2023,15:56,313806474,2658.084587,-32.95,,The Works
15/01/2023,16:02,778200498,628.16335,-1.99,,Five Senses Art
15/01/2023,16:04,835307842,142.849,-22.96,,Daunt Books
15/01/2023,23:02,684967752,1439.65375,-3.5,,Kings Arms
15/01/2023,23:17,684967752,1432.15375,-7.5,,Kings Arms
16/01/2023,09:16,303145527,1025.207511,-22.96,,Foyles
16/01/2023,10:16,835307842,137.849,-5,,Starbucks
16/01/2023,15:43,778200498,622.17335,-5.99,,Daunt Books
16/01/2023,18:22,710597922,184.27145,-16.5,,Hobbycraft
16/01/2023,18:22,313806474,2536.584587,-121.5,,Loosely Fitted
16/01/2023,18:23,710597922,183.6546404,-0.62,,H&M
16/01/2023,18:43,313806474,2431.584587,-105,,H&M
16/01/2023,18:52,189418402,404.0403,-10.15,,Kings Arms
16/01/2023,19:05,313806474,2312.584587,-119,,Topshop
16/01/2023,19:06,189418402,384.6403,-19.4,,Kings Arms
16/01/2023,19:16,658100753,3363.292636,-14,,Kings Arms
16/01/2023,19:20,313806474,2217.584587,-95,,TK Maxx
16/01/2023,19:49,313806474,2195.084587,-22.5,,Revella
17/01/2023,09:02,835307842,128.2886778,-9.56,,Amazon
17/01/2023,09:21,266056908,2791.2217,-20.97,,Foyles
17/01/2023,10:15,835307842,121.9386778,-6.35,,Starbucks
17/01/2023,14:21,684967752,1382.16375,-49.99,,Collector Cave
17/01/2023,18:04,908273315,124.7048534,-255.88,,Tesco Express
17/01/2023,18:46,213904562,2261.09085,-84.87,,Tesco Express
18/01/2023,08:22,189418402,304.10215,-80.54,,Coop Local
18/01/2023,08:47,658100753,3295.502536,-67.79,,Sainsbury Local
18/01/2023,09:15,684967752,1262.19375,-119.97,,Collector Cave
18/01/2023,09:29,684967752,1152.22375,-109.97,,Hobbycraft
18/01/2023,10:11,619428091,2587.834976,-29.99,,Collector Cave
18/01/2023,10:26,835307842,116.2386778,-5.7,,Starbucks
18/01/2023,13:01,778200498,544.19335,-77.98,,JD Sports
18/01/2023,17:24,213904562,2133.10085,-127.99,,JD Sports
18/01/2023,17:33,417831169,1166.395368,-29.99,,Gamestation
18/01/2023,19:16,658100753,3241.649128,-53.85,,Asda
18/01/2023,20:47,618363727,2617.56578,-298.59,,Tesco Express
19/01/2023,01:58,778200498,494.4269036,-49.77,,Amazon
19/01/2023,05:07,618363727,2615.995745,-1.57,,H&M
19/01/2023,10:11,303145527,990.2175111,-34.99,,Reebok
19/01/2023,10:20,303145527,963.6555733,-26.56,,H&M
19/01/2023,11:46,835307842,106.2486778,-9.99,,JD Sports
19/01/2023,17:10,157033995,224.1733,-233.22,,Tesco Express
19/01/2023,17:12,303145527,913.6655733,-49.99,,Collector Cave
19/01/2023,17:18,916374214,311.2502,-32.95,,Foyles
19/01/2023,19:24,618747955,213.9798627,-268.33,,Tesco Express
20/01/2023,09:20,184102451,326.64,-149.97,,Collector Cave
20/01/2023,09:33,303145527,798.1655733,-115.5,,Loosely Fitted
20/01/2023,09:42,619428091,2567.844976,-19.99,,Hobbycraft
20/01/2023,10:17,189418402,271.15215,-32.95,,Daunt Books
20/01/2023,10:32,184102451,268.65,-57.99,,Loosely Fitted
20/01/2023,10:50,303145527,686.1655733,-112,,Loosely Fitted
20/01/2023,11:24,303145527,592.3655733,-93.8,,H&M
20/01/2023,12:04,266056908,2672.37955,-118.84,,Sainsbury Local
20/01/2023,12:35,303145527,385.8655733,-206.5,,TK Maxx
20/01/2023,12:47,184102451,135.66,-132.99,,H&M
20/01/2023,12:47,619428091,2557.864976,-9.98,,Hobbycraft
20/01/2023,13:02,303145527,179.3655733,-206.5,,Loosely Fitted
20/01/2023,13:09,184102451,111.17,-24.49,,Topshop
20/01/2023,13:32,619428091,2527.874976,-29.99,,Collector Cave
20/01/2023,14:05,303145527,81.36557328,-98,,Loosely Fitted
20/01/2023,14:32,303145527,-36.93442672,-118.3,,H&M
20/01/2023,14:33,835307842,21.27867775,-84.97,,Hobby Lobby
20/01/2023,15:07,778200498,461.4769036,-32.95,,Daunt Books
20/01/2023,15:11,303145527,-351.2344267,-314.3,,Loosely Fitted
20/01/2023,16:53,710597922,174.6646404,-8.99,,Hobbycraft
20/01/2023,16:53,303145527,-465.3344267,-114.1,,TK Maxx
20/01/2023,17:18,303145527,-549.3344267,-84,,Loosely Fitted
20/01/2023,17:25,417831169,1146.405368,-19.99,,Collector Cave
20/01/2023,18:25,303145527,-750.2344267,-200.9,,Loosely Fitted
20/01/2023,20:52,684967752,980.08675,-172.14,,Tesco Express
21/01/2023,09:33,189418402,221.16215,-49.99,,Gamestation
21/01/2023,09:33,778200498,429.5069036,-31.97,,Hobby Lobby
21/01/2023,09:54,618363727,2596.005745,-19.99,,JD Sports
21/01/2023,09:57,835307842,-28.71132225,-49.99,,Gamestation
21/01/2023,10:04,710597922,158.6846404,-15.98,,Foyles
21/01/2023,10:52,710597922,147.6846404,-11,,Hobbycraft
21/01/2023,11:05,417831169,1086.425368,-59.98,,Collector Cave
21/01/2023,11:11,618363727,2536.025745,-59.98,,Hobbycraft
21/01/2023,11:21,684967752,954.10675,-25.98,,Hobbycraft
21/01/2023,13:17,916374214,305.2425697,-6.01,,Tesco Express
21/01/2023,13:21,710597922,17.71464041,-129.97,,Collector Cave
21/01/2023,13:45,619428091,2516.874976,-11,,Craftastic
21/01/2023,17:17,213904562,2027.13085,-105.97,,Five Senses Art
22/01/2023,06:13,619428091,2508.831749,-8.04,,TK Maxx
22/01/2023,10:41,266056908,2626.42955,-45.95,,Daunt Books
22/01/2023,10:53,266056908,2571.43955,-54.99,,JD Sports
22/01/2023,11:04,684967752,924.11675,-29.99,,Collector Cave
22/01/2023,11:58,619428091,2418.861749,-89.97,,Collector Cave
22/01/2023,12:49,835307842,-67.68132225,-38.97,,Five Senses Art
22/01/2023,13:44,684967752,920.13675,-3.98,,Hobbycraft
22/01/2023,14:26,835307842,-167.6713222,-99.99,,JD Sports
22/01/2023,15:29,684967752,912.63675,-7.5,,Kings Arms
23/01/2023,08:31,710597922,-116.0501096,-133.76,,Tesco Express
23/01/2023,09:12,189418402,215.41215,-5.75,,Starbucks
23/01/2023,09:47,684967752,804.86475,-107.77,,Loosely Fitted
23/01/2023,10:09,303145527,-864.3904267,-114.16,,Tesco Express
23/01/2023,11:01,213904562,1976.1187,-51.01,,Sainsbury Local
23/01/2023,12:04,684967752,678.20675,-126.66,,Loosely Fitted
23/01/2023,12:37,684967752,473.82075,-204.39,,H&M
23/01/2023,13:20,684967752,353.44875,-120.37,,H&M
23/01/2023,13:41,684967752,144.17675,-209.27,,Topshop
23/01/2023,13:56,684967752,21.00475,-123.17,,Topshop
23/01/2023,14:24,684967752,-121.06725,-142.07,,Topshop
23/01/2023,14:48,684967752,-247.71125,-126.64,,Loosely Fitted
23/01/2023,15:27,684967752,-319.75525,-72.04,,Loosely Fitted
23/01/2023,15:42,684967752,-414.95525,-95.2,,H&M
23/01/2023,17:48,684967752,-594.84125,-179.89,,H&M
23/01/2023,17:49,417831169,1006.445368,-79.98,,Collector Cave
23/01/2023,18:04,313806474,2165.598487,-29.49,,Asda
24/01/2023,08:54,313806474,2154.996603,-10.6,,Topshop
24/01/2023,09:28,619428091,2406.891749,-11.97,,Hobbycraft
24/01/2023,09:38,266056908,2559.94955,-11.49,,Hobbycraft
24/01/2023,18:44,710597922,-153.6501096,-37.6,,JustEat
25/01/2023,06:32,778200498,419.8372184,-9.67,,TK Maxx
25/01/2023,09:35,266056908,2547.926322,-12.02,,Asda
25/01/2023,12:04,778200498,376.8572184,-42.98,,Adidas
25/01/2023,12:47,778200498,253.1472684,-123.71,,Coop Local
25/01/2023,19:14,266056908,2435.148972,-112.78,,Sainsbury Local
26/01/2023,08:27,658100753,3178.108378,-63.54,,Coop Local
26/01/2023,10:39,266056908,2419.168972,-15.98,,Daunt Books
26/01/2023,11:34,619428091,2383.921749,-22.97,,Foyles
26/01/2023,13:48,619428091,2339.921749,-44,,JD Sports
26/01/2023,16:27,213904562,1964.6287,-11.49,,Hobbycraft
26/01/2023,16:55,213904562,1951.6487,-12.98,,Daunt Books
26/01/2023,17:21,916374214,240.2625697,-64.98,,Reebok
26/01/2023,17:39,313806474,2098.026603,-56.97,,Hobby Lobby
27/01/2023,09:35,184102451,31.19,-79.98,,Collector Cave
27/01/2023,10:28,189418402,95.44215,-119.97,,Gamestation
27/01/2023,10:42,189418402,58.47215,-36.97,,Hobbycraft
27/01/2023,16:29,619428091,2317.941749,-21.98,,Hobbycraft
27/01/2023,17:19,658100753,3125.108378,-53,,JD Sports
27/01/2023,17:25,417831169,956.4553678,-49.99,,Gamestation
27/01/2023,17:39,619428091,2311.971749,-5.97,,Hobbycraft
27/01/2023,20:27,213904562,1911.17015,-40.48,,Sainsbury Local
28/01/2023,08:29,313806474,2041.209003,-56.82,,Tesco Express
28/01/2023,08:42,684967752,-726.19625,-131.35,,Tesco Express
28/01/2023,09:23,916374214,207.3125697,-32.95,,Foyles
28/01/2023,09:24,658100753,3106.138378,-18.97,,Daunt Books
28/01/2023,09:27,618363727,2516.035745,-19.99,,JD Sports
28/01/2023,09:31,417831169,856.4653678,-99.99,,Reebok
28/01/2023,09:40,618363727,2416.055745,-99.98,,Collector Cave
28/01/2023,09:59,618363727,2384.095745,-31.96,,Foyles
28/01/2023,10:00,417831169,734.0920678,-122.37,,Tesco Express
28/01/2023,12:49,266056908,2407.188972,-11.98,,Foyles
28/01/2023,16:41,417831169,684.1020678,-49.99,,Collector Cave
29/01/2023,11:09,619428091,2281.981749,-29.99,,Collector Cave
29/01/2023,12:12,417831169,584.1220678,-99.98,,Collector Cave
